timestamp,fec,hyb,vmm,temperature
2026-07-09 10:31:48,0,5,0,29.7297
2026-07-09 10:31:48,0,5,1,28.1081
2026-07-09 10:31:48,0,6,0,28.1081
2026-07-09 10:31:48,0,6,1,24.8649
2026-07-09 10:31:48,0,7,0,34.5946
2026-07-09 10:31:48,0,7,1,30.2703
2026-07-09 10:31:50,0,0,0,27.5676
2026-07-09 10:31:50,0,0,1,24.3243
2026-07-09 10:31:50,0,1,0,29.7297
2026-07-09 10:31:50,0,1,1,28.1081
2026-07-09 10:31:50,0,2,0,29.1892
2026-07-09 10:31:50,0,2,1,26.4865
2026-07-09 10:31:50,0,3,0,29.1892
2026-07-09 10:31:50,0,3,1,24.3243
2026-07-09 10:31:50,0,4,0,28.6486
2026-07-09 10:31:50,0,4,1,28.1081
2026-07-09 10:31:50,0,5,0,29.7297
2026-07-09 10:31:50,0,5,1,28.1081
2026-07-09 10:31:50,0,6,0,28.1081
2026-07-09 10:31:50,0,6,1,24.8649
2026-07-09 10:31:50,0,7,0,34.5946
2026-07-09 10:31:50,0,7,1,30.2703
2026-07-09 10:31:52,0,0,0,27.5676
2026-07-09 10:31:52,0,0,1,24.3243
2026-07-09 10:31:52,0,1,0,29.7297
2026-07-09 10:31:52,0,1,1,28.1081
2026-07-09 10:31:52,0,2,0,29.1892
2026-07-09 10:31:52,0,2,1,26.4865
2026-07-09 10:31:52,0,3,0,29.1892
2026-07-09 10:31:52,0,3,1,24.3243
2026-07-09 10:31:52,0,4,0,28.6486
2026-07-09 10:31:52,0,4,1,28.1081
2026-07-09 10:31:52,0,5,0,29.7297
2026-07-09 10:31:52,0,5,1,28.1081
2026-07-09 10:31:52,0,6,0,28.1081
2026-07-09 10:31:52,0,6,1,24.8649
2026-07-09 10:31:52,0,7,0,34.5946
2026-07-09 10:31:52,0,7,1,29.7297
2026-07-09 10:31:54,0,0,0,27.5676
2026-07-09 10:31:54,0,0,1,24.3243
2026-07-09 10:31:54,0,1,0,29.7297
2026-07-09 10:31:54,0,1,1,28.1081
2026-07-09 10:31:54,0,2,0,29.1892
2026-07-09 10:31:54,0,2,1,26.4865
2026-07-09 10:31:54,0,3,0,29.1892
2026-07-09 10:31:54,0,3,1,24.3243
2026-07-09 10:31:54,0,4,0,28.6486
2026-07-09 10:31:54,0,4,1,28.1081
2026-07-09 10:31:54,0,5,0,29.7297
2026-07-09 10:31:54,0,5,1,28.1081
2026-07-09 10:31:54,0,6,0,28.1081
2026-07-09 10:31:54,0,6,1,24.8649
2026-07-09 10:31:54,0,7,0,34.5946
2026-07-09 10:31:54,0,7,1,30.2703
2026-07-09 10:31:56,0,0,0,27.5676
2026-07-09 10:31:56,0,0,1,24.3243
2026-07-09 10:31:56,0,1,0,29.7297
2026-07-09 10:31:56,0,1,1,28.1081
2026-07-09 10:31:56,0,2,0,29.1892
2026-07-09 10:31:56,0,2,1,26.4865
2026-07-09 10:31:56,0,3,0,29.1892
2026-07-09 10:31:56,0,3,1,24.3243
2026-07-09 10:31:56,0,4,0,28.6486
2026-07-09 10:31:56,0,4,1,28.1081
2026-07-09 10:31:56,0,5,0,29.7297
2026-07-09 10:31:56,0,5,1,28.1081
2026-07-09 10:31:56,0,6,0,28.1081
2026-07-09 10:31:56,0,6,1,24.8649
2026-07-09 10:31:56,0,7,0,34.5946
2026-07-09 10:31:56,0,7,1,30.2703
2026-07-09 10:31:58,0,0,0,27.5676
2026-07-09 10:31:58,0,0,1,24.3243
2026-07-09 10:31:58,0,1,0,29.7297
2026-07-09 10:31:58,0,1,1,28.1081
2026-07-09 10:31:58,0,2,0,29.1892
2026-07-09 10:31:58,0,2,1,26.4865
2026-07-09 10:31:58,0,3,0,29.1892
2026-07-09 10:31:58,0,3,1,24.3243
2026-07-09 10:31:58,0,4,0,28.6486
2026-07-09 10:31:58,0,4,1,28.1081
2026-07-09 10:31:58,0,5,0,29.7297
2026-07-09 10:31:58,0,5,1,28.1081
2026-07-09 10:31:58,0,6,0,28.1081
2026-07-09 10:31:58,0,6,1,24.8649
2026-07-09 10:31:58,0,7,0,34.5946
2026-07-09 10:31:58,0,7,1,29.7297
2026-07-09 10:32:00,0,0,0,27.5676
2026-07-09 10:32:00,0,0,1,24.3243
2026-07-09 10:32:00,0,1,0,29.7297
2026-07-09 10:32:00,0,1,1,28.1081
2026-07-09 10:32:00,0,2,0,29.1892
2026-07-09 10:32:00,0,2,1,26.4865
2026-07-09 10:32:00,0,3,0,29.1892
2026-07-09 10:32:00,0,3,1,24.3243
2026-07-09 10:32:00,0,4,0,28.6486
2026-07-09 10:32:00,0,4,1,28.1081
2026-07-09 10:32:00,0,5,0,29.7297
2026-07-09 10:32:00,0,5,1,28.1081
2026-07-09 10:32:00,0,6,0,28.1081
2026-07-09 10:32:00,0,6,1,24.8649
2026-07-09 10:32:00,0,7,0,34.5946
2026-07-09 10:32:00,0,7,1,29.7297
2026-07-09 10:32:02,0,0,0,27.5676
2026-07-09 10:32:02,0,0,1,24.3243
2026-07-09 10:32:02,0,1,0,29.7297
2026-07-09 10:32:02,0,1,1,28.1081
2026-07-09 10:32:02,0,2,0,29.1892
2026-07-09 10:32:02,0,2,1,26.4865
2026-07-09 10:32:02,0,3,0,29.1892
2026-07-09 10:32:02,0,3,1,24.3243
2026-07-09 10:32:02,0,4,0,28.6486
2026-07-09 10:32:02,0,4,1,28.1081
2026-07-09 10:32:02,0,5,0,29.7297
2026-07-09 10:32:02,0,5,1,28.1081
2026-07-09 10:32:02,0,6,0,28.1081
2026-07-09 10:32:02,0,6,1,24.8649
2026-07-09 10:32:02,0,7,0,34.5946
2026-07-09 10:32:02,0,7,1,29.7297
2026-07-09 10:32:04,0,0,0,27.5676
2026-07-09 10:32:04,0,0,1,24.3243
2026-07-09 10:32:04,0,1,0,29.7297
2026-07-09 10:32:04,0,1,1,27.5676
2026-07-09 10:32:04,0,2,0,29.1892
2026-07-09 10:32:04,0,2,1,26.4865
2026-07-09 10:32:04,0,3,0,29.1892
2026-07-09 10:32:04,0,3,1,24.3243
2026-07-09 10:32:04,0,4,0,28.6486
2026-07-09 10:32:04,0,4,1,28.1081
2026-07-09 10:32:04,0,5,0,29.7297
2026-07-09 10:32:04,0,5,1,28.1081
2026-07-09 10:32:04,0,6,0,28.1081
2026-07-09 10:32:04,0,6,1,24.8649
2026-07-09 10:32:04,0,7,0,34.5946
2026-07-09 10:32:04,0,7,1,29.7297
2026-07-09 10:32:06,0,0,0,27.5676
2026-07-09 10:32:06,0,0,1,24.3243
2026-07-09 10:32:06,0,1,0,29.7297
2026-07-09 10:32:06,0,1,1,28.1081
2026-07-09 10:32:06,0,2,0,29.1892
2026-07-09 10:32:06,0,2,1,26.4865
2026-07-09 10:32:06,0,3,0,29.1892
2026-07-09 10:32:06,0,3,1,24.3243
2026-07-09 10:32:06,0,4,0,28.6486
2026-07-09 10:32:06,0,4,1,28.1081
2026-07-09 10:32:06,0,5,0,29.7297
2026-07-09 10:32:06,0,5,1,28.1081
2026-07-09 10:32:06,0,6,0,28.1081
2026-07-09 10:32:06,0,6,1,24.8649
2026-07-09 10:32:06,0,7,0,34.5946
2026-07-09 10:32:06,0,7,1,29.7297
2026-07-09 10:32:08,0,0,0,27.5676
2026-07-09 10:32:08,0,0,1,24.3243
2026-07-09 10:32:08,0,1,0,29.7297
2026-07-09 10:32:08,0,1,1,28.1081
2026-07-09 10:32:08,0,2,0,29.1892
2026-07-09 10:32:08,0,2,1,26.4865
2026-07-09 10:32:08,0,3,0,29.1892
2026-07-09 10:32:08,0,3,1,24.3243
2026-07-09 10:32:08,0,4,0,28.6486
2026-07-09 10:32:08,0,4,1,28.1081
2026-07-09 10:32:08,0,5,0,29.7297
2026-07-09 10:32:08,0,5,1,28.1081
2026-07-09 10:32:08,0,6,0,28.1081
2026-07-09 10:32:08,0,6,1,24.8649
2026-07-09 10:32:08,0,7,0,34.5946
2026-07-09 10:32:08,0,7,1,29.7297
2026-07-09 10:32:10,0,0,0,27.5676
2026-07-09 10:32:10,0,0,1,24.3243
2026-07-09 10:32:10,0,1,0,29.7297
2026-07-09 10:32:10,0,1,1,27.5676
2026-07-09 10:32:10,0,2,0,29.1892
2026-07-09 10:32:10,0,2,1,26.4865
2026-07-09 10:32:10,0,3,0,29.1892
2026-07-09 10:32:10,0,3,1,24.3243
2026-07-09 10:32:10,0,4,0,28.6486
2026-07-09 10:32:10,0,4,1,28.1081
2026-07-09 10:32:10,0,5,0,29.7297
2026-07-09 10:32:10,0,5,1,28.1081
2026-07-09 10:32:10,0,6,0,28.1081
2026-07-09 10:32:10,0,6,1,24.8649
2026-07-09 10:32:10,0,7,0,34.5946
2026-07-09 10:32:10,0,7,1,29.7297
2026-07-09 10:32:12,0,0,0,27.5676
2026-07-09 10:32:12,0,0,1,24.3243
2026-07-09 10:32:12,0,1,0,29.7297
2026-07-09 10:32:12,0,1,1,28.1081
2026-07-09 10:32:12,0,2,0,30.8108
2026-07-09 10:32:12,0,2,1,25.9459
2026-07-09 10:32:12,0,3,0,29.1892
2026-07-09 10:32:12,0,3,1,24.3243
2026-07-09 10:32:12,0,4,0,28.6486
2026-07-09 10:32:12,0,4,1,28.1081
2026-07-09 10:32:12,0,5,0,29.7297
2026-07-09 10:32:12,0,5,1,28.1081
2026-07-09 10:32:12,0,6,0,28.1081
2026-07-09 10:32:12,0,6,1,24.8649
2026-07-09 10:32:12,0,7,0,34.5946
2026-07-09 10:32:12,0,7,1,29.7297
2026-07-09 10:32:14,0,0,0,27.5676
2026-07-09 10:32:14,0,0,1,24.3243
2026-07-09 10:32:14,0,1,0,29.7297
2026-07-09 10:32:14,0,1,1,28.1081
